model_name,mean_weighted,mean_raw
MNLP_M2_mcqa_model_cot00_e1,nan,nan
MNLP_M2_mcqa_model_cot00_e3,nan,nan
MNLP_M2_mcqa_model_cot10_e1,nan,nan
MNLP_M2_mcqa_model_cot10_e3,nan,nan
MNLP_M3_mcqa_model_cot00_e1,nan,nan
MNLP_M3_mcqa_model_cot00_e3,nan,nan
MNLP_M3_mcqa_model_cot10_e1,nan,nan
MNLP_M3_mcqa_model_cot10_e3,nan,nan
Qwen/Qwen3-0.6B,nan,nan
Qwen/Qwen3-0.6B-Base,nan,nan
