model_name,metric,community|mmlu:stem,community|mnlp_mcqa_evals,helm|commonsenseqa,helm|med_qa,lighteval|agieval:aqua-rat,lighteval|openbookqa,lighteval|race:high,lighteval|sciq,original|arc:c:letters,mean_raw,mean_scaled
Qwen/Qwen3-0.6B,acc,0.3673657524775294,0.28,0.20638820638820637,0.20707269155206287,0.15354330708661418,0.212,0.3397129186602871,0.871,0.23976109215017063,0.31964932981276334,0.6290435761241971
Qwen/Qwen3-0.6B,acc_stderr,0.007319491469185807,0.06414269805898185,0.011586881879177847,0.008033772854377225,0.022665095654110064,0.018297037004013885,0.0146579144325864,0.01060525678479657,0.012476304127453956,0.0188649391405204,0.0005528856992770143
Qwen/Qwen3-0.6B,acc_norm,0.3673657524775294,0.28,0.20638820638820637,0.20707269155206287,0.14566929133858267,0.314,,0.839,0.23976109215017063,0.324907129238319,0.6271601874550412
Qwen/Qwen3-0.6B,acc_norm_stderr,0.007319491469185807,0.06414269805898185,0.011586881879177847,0.008033772854377225,0.022178733974451206,0.020776701920308997,,0.01162816469672718,0.012476304127453956,0.01976784362258301,0.001566017143629408
Qwen/Qwen3-0.6B-Base,acc,0.48766997003917956,0.42,0.3194103194103194,0.22593320235756384,0.22440944881889763,0.246,0.35023923444976074,0.926,0.3003412969283277,0.38888927466711654,0.7863476615559565
Qwen/Qwen3-0.6B-Base,acc_stderr,0.007589150040109537,0.07050835816716035,0.013348646620922262,0.00829126307675909,0.0262286877985759,0.019279819056352544,0.014764164998575975,0.008282064512704163,0.013395909309956988,0.02018756262012409,0.004419710190216722
Qwen/Qwen3-0.6B-Base,acc_norm,0.48766997003917956,0.42,0.3194103194103194,0.22593320235756384,0.2283464566929134,0.342,,0.907,0.3003412969283277,0.403837655678538,0.804775575032959
Qwen/Qwen3-0.6B-Base,acc_norm_stderr,0.007589150040109537,0.07050835816716035,0.013348646620922262,0.00829126307675909,0.02639052653782214,0.02123614719989927,,0.009188875634996678,0.013395909309956988,0.02124360957345329,0.005908940265902501
NicoHelemon/MNLP_M2_mcqa_model,acc,0.5243143581470385,0.42,0.2588042588042588,0.20982318271119843,0.33858267716535434,0.27,0.38181818181818183,0.945,0.40187713310580203,0.416691087972426,0.8542544053443917
NicoHelemon/MNLP_M2_mcqa_model,acc_stderr,0.007582477373118403,0.07050835816716035,0.01253926993551067,0.008072913956172512,0.02975157005116651,0.01987435483128747,0.015036133294674146,0.007212976294639238,0.014327268614578276,0.020545035835367507,0.005639590711220847
NicoHelemon/MNLP_M2_mcqa_model,acc_norm,0.5243143581470385,0.42,0.2588042588042588,0.20982318271119843,0.33070866141732286,0.374,,0.942,0.40187713310580203,0.43269094927320256,0.8713465134806216
NicoHelemon/MNLP_M2_mcqa_model,acc_norm_stderr,0.007582477373118403,0.07050835816716035,0.01253926993551067,0.008072913956172512,0.02957809002971403,0.02166071034720448,,0.007395315455792946,0.014327268614578276,0.021458050484906458,0.006896459900144374
NicoHelemon/MNLP_M2_mcqa_model_cot08,acc,0.48766997003917956,0.42,0.3194103194103194,0.22593320235756384,0.22440944881889763,0.246,0.35023923444976074,0.926,0.3003412969283277,0.38888927466711654,0.7863476615559565
NicoHelemon/MNLP_M2_mcqa_model_cot08,acc_stderr,0.007589150040109537,0.07050835816716035,0.013348646620922262,0.00829126307675909,0.0262286877985759,0.019279819056352544,0.014764164998575975,0.008282064512704163,0.013395909309956988,0.02018756262012409,0.004419710190216722
NicoHelemon/MNLP_M2_mcqa_model_cot08,acc_norm,0.48766997003917956,0.42,0.3194103194103194,0.22593320235756384,0.2283464566929134,0.342,,0.907,0.3003412969283277,0.403837655678538,0.804775575032959
NicoHelemon/MNLP_M2_mcqa_model_cot08,acc_norm_stderr,0.007589150040109537,0.07050835816716035,0.013348646620922262,0.00829126307675909,0.02639052653782214,0.02123614719989927,,0.009188875634996678,0.013395909309956988,0.02124360957345329,0.005908940265902501
NicoHelemon/MNLP_M2_mcqa_model_cot00,acc,0.4694630099101175,0.36,0.5675675675675675,0.2636542239685658,0.2637795275590551,0.232,0.3416267942583732,0.928,0.5170648464163823,0.43812844107556237,0.8851014864331012
NicoHelemon/MNLP_M2_mcqa_model_cot00,acc_stderr,0.00757728722902174,0.06857142857142856,0.014183649782696818,0.008735740270787315,0.027705387412897232,0.018896193591952045,0.014677827770761077,0.008178195576218681,0.014602878388536597,0.02034762095492223,0.0047749409168577
NicoHelemon/MNLP_M2_mcqa_model_cot00,acc_norm,0.4694630099101175,0.36,0.5675675675675675,0.2636542239685658,0.2795275590551181,0.348,,0.93,0.5170648464163823,0.46690965086471886,0.9331707948041787
NicoHelemon/MNLP_M2_mcqa_model_cot00,acc_norm_stderr,0.00757728722902174,0.06857142857142856,0.014183649782696818,0.008735740270787315,0.02821374533845074,0.021323728632807508,,0.008072494358323499,0.014602878388536597,0.021410119071506598,0.006474634641837527
NicoHelemon/MNLP_M2_mcqa_model_cot02,acc,0.48766997003917956,0.42,0.3194103194103194,0.22593320235756384,0.22440944881889763,0.246,0.35023923444976074,0.926,0.3003412969283277,0.38888927466711654,0.7863476615559565
NicoHelemon/MNLP_M2_mcqa_model_cot02,acc_stderr,0.007589150040109537,0.07050835816716035,0.013348646620922262,0.00829126307675909,0.0262286877985759,0.019279819056352544,0.014764164998575975,0.008282064512704163,0.013395909309956988,0.02018756262012409,0.004419710190216722
NicoHelemon/MNLP_M2_mcqa_model_cot02,acc_norm,0.48766997003917956,0.42,0.3194103194103194,0.22593320235756384,0.2283464566929134,0.342,,0.907,0.3003412969283277,0.403837655678538,0.804775575032959
NicoHelemon/MNLP_M2_mcqa_model_cot02,acc_norm_stderr,0.007589150040109537,0.07050835816716035,0.013348646620922262,0.00829126307675909,0.02639052653782214,0.02123614719989927,,0.009188875634996678,0.013395909309956988,0.02124360957345329,0.005908940265902501
NicoHelemon/MNLP_M2_mcqa_model_cot05,acc,0.5040331873703618,0.32,0.3677313677313677,0.21886051080550098,0.3543307086614173,0.244,0.3397129186602871,0.934,0.5008532423208191,0.4203913261721949,0.8506398345044437
NicoHelemon/MNLP_M2_mcqa_model_cot05,acc_stderr,0.007591211666105853,0.06663945022680343,0.01380499460927525,0.008197651422362217,0.030071092152509558,0.01922673489361459,0.014657914432586402,0.007855297938697593,0.014611369529813272,0.020295079652418682,0.004711131384075524
NicoHelemon/MNLP_M2_mcqa_model_cot05,acc_norm,0.5040331873703618,0.32,0.3677313677313677,0.21886051080550098,0.3543307086614173,0.35,,0.93,0.5008532423208191,0.4432261271111834,0.8849050520804739
NicoHelemon/MNLP_M2_mcqa_model_cot05,acc_norm_stderr,0.007591211666105853,0.06663945022680343,0.01380499460927525,0.008197651422362217,0.03007109215250956,0.021352091786223108,,0.008072494358323492,0.014611369529813272,0.021292544468927022,0.006167670724345753
NicoHelemon/MNLP_M2_mcqa_model_cot10,acc,0.5038027195206268,0.42,0.36609336609336607,0.21178781925343812,0.23622047244094488,0.264,0.3799043062200957,0.952,0.4667235494880546,0.42228135922405846,0.8521758674606803
NicoHelemon/MNLP_M2_mcqa_model_cot10,acc_stderr,0.007591239086152373,0.07050835816716035,0.013792044909419142,0.008100531343443783,0.026704380837086972,0.019732885585922105,0.015021600804935644,0.006763264133666674,0.01457899585960582,0.020310366747488096,0.0048664356983785535
NicoHelemon/MNLP_M2_mcqa_model_cot10,acc_norm,0.5038027195206268,0.42,0.36609336609336607,0.21178781925343812,0.24015748031496062,0.376,,0.945,0.4667235494880546,0.44119561683380576,0.8763047624218623
NicoHelemon/MNLP_M2_mcqa_model_cot10,acc_norm_stderr,0.007591239086152373,0.07050835816716035,0.013792044909419142,0.008100531343443783,0.026856511194355212,0.021683827539286125,,0.007212976294639239,0.01457899585960582,0.021290560549257754,0.0062499330684407575
